"Step","feasible-snow-561 - test reward","feasible-snow-561 - test reward__MIN","feasible-snow-561 - test reward__MAX","eager-sound-560 - test reward","eager-sound-560 - test reward__MIN","eager-sound-560 - test reward__MAX","feasible-darkness-559 - test reward","feasible-darkness-559 - test reward__MIN","feasible-darkness-559 - test reward__MAX","colorful-moon-558 - test reward","colorful-moon-558 - test reward__MIN","colorful-moon-558 - test reward__MAX","peach-jazz-557 - test reward","peach-jazz-557 - test reward__MIN","peach-jazz-557 - test reward__MAX","wandering-sun-556-TD3BC - test reward","wandering-sun-556-TD3BC - test reward__MIN","wandering-sun-556-TD3BC - test reward__MAX","smooth-durian-555-TD3BC - test reward","smooth-durian-555-TD3BC - test reward__MIN","smooth-durian-555-TD3BC - test reward__MAX","effortless-puddle-554-TD3BC - test reward","effortless-puddle-554-TD3BC - test reward__MIN","effortless-puddle-554-TD3BC - test reward__MAX","colorful-haze-553-TD3BC - test reward","colorful-haze-553-TD3BC - test reward__MIN","colorful-haze-553-TD3BC - test reward__MAX"
"33939","-147.75152546243544","-147.75152546243544","-147.75152546243544","-191.09232169570555","-191.09232169570555","-191.09232169570555","-168.9104164594348","-168.9104164594348","-168.9104164594348","-133.16463355994892","-133.16463355994892","-133.16463355994892","-124.97003937516126","-124.97003937516126","-124.97003937516126","-142.73892695391535","-142.73892695391535","-142.73892695391535","-227.00628475746083","-227.00628475746083","-227.00628475746083","-168.49352226830382","-168.49352226830382","-168.49352226830382","-111.50374072611162","-111.50374072611162","-111.50374072611162"
"36346","-177.04298759275787","-177.04298759275787","-177.04298759275787","-206.6686021546759","-206.6686021546759","-206.6686021546759","-183.68280407298568","-183.68280407298568","-183.68280407298568","-134.61281368343626","-134.61281368343626","-134.61281368343626","-122.66432131611214","-122.66432131611214","-122.66432131611214","-132.9208524751579","-132.9208524751579","-132.9208524751579","-283.1367354798948","-283.1367354798948","-283.1367354798948","-201.70926040290271","-201.70926040290271","-201.70926040290271","-198.1285012450218","-198.1285012450218","-198.1285012450218"
"38753","-168.18554441637235","-168.18554441637235","-168.18554441637235","-134.0084672729598","-134.0084672729598","-134.0084672729598","-174.91600719136156","-174.91600719136156","-174.91600719136156","-128.30012125358965","-128.30012125358965","-128.30012125358965","-147.43655930426843","-147.43655930426843","-147.43655930426843","-128.0442822746159","-128.0442822746159","-128.0442822746159","-218.1767171173523","-218.1767171173523","-218.1767171173523","-227.80266370162389","-227.80266370162389","-227.80266370162389","-208.89045463472726","-208.89045463472726","-208.89045463472726"
"41160","-220.62335143574128","-220.62335143574128","-220.62335143574128","-182.48495906132882","-182.48495906132882","-182.48495906132882","-134.52704927843405","-134.52704927843405","-134.52704927843405","-149.91293601202125","-149.91293601202125","-149.91293601202125","-160.7881401759185","-160.7881401759185","-160.7881401759185","-165.98755414126927","-165.98755414126927","-165.98755414126927","-222.53705122979378","-222.53705122979378","-222.53705122979378","-166.06796035846133","-166.06796035846133","-166.06796035846133","-122.23923325187612","-122.23923325187612","-122.23923325187612"
"43567","-220.70516056413703","-220.70516056413703","-220.70516056413703","-200.7546460047877","-200.7546460047877","-200.7546460047877","-188.7841113939767","-188.7841113939767","-188.7841113939767","-142.14463781782734","-142.14463781782734","-142.14463781782734","-116.97183823500409","-116.97183823500409","-116.97183823500409","-171.72222678867436","-171.72222678867436","-171.72222678867436","-219.88703866731885","-219.88703866731885","-219.88703866731885","-218.94894552016976","-218.94894552016976","-218.94894552016976","-129.11752850018027","-129.11752850018027","-129.11752850018027"
"45974","-231.37887754976526","-231.37887754976526","-231.37887754976526","-144.66204871469444","-144.66204871469444","-144.66204871469444","-185.26111883575675","-185.26111883575675","-185.26111883575675","-137.71247814831287","-137.71247814831287","-137.71247814831287","-131.77772029623253","-131.77772029623253","-131.77772029623253","-110.50957315749619","-110.50957315749619","-110.50957315749619","-212.55427140144684","-212.55427140144684","-212.55427140144684","-163.56551223247448","-163.56551223247448","-163.56551223247448","-175.73612783019752","-175.73612783019752","-175.73612783019752"
"48381","-187.55279337350925","-187.55279337350925","-187.55279337350925","-138.94682965865863","-138.94682965865863","-138.94682965865863","-253.5329007906152","-253.5329007906152","-253.5329007906152","-147.38809482548353","-147.38809482548353","-147.38809482548353","-102.2247532687786","-102.2247532687786","-102.2247532687786","-188.65088895539776","-188.65088895539776","-188.65088895539776","-202.19986714867798","-202.19986714867798","-202.19986714867798","-201.24902530167756","-201.24902530167756","-201.24902530167756","-188.5321615129183","-188.5321615129183","-188.5321615129183"
"50788","-189.03930336272532","-189.03930336272532","-189.03930336272532","-186.15145718995385","-186.15145718995385","-186.15145718995385","-188.05441825903767","-188.05441825903767","-188.05441825903767","-122.8997162295902","-122.8997162295902","-122.8997162295902","-161.02295397766858","-161.02295397766858","-161.02295397766858","-137.95197830842517","-137.95197830842517","-137.95197830842517","-191.25832347917986","-191.25832347917986","-191.25832347917986","-124.00739482182169","-124.00739482182169","-124.00739482182169","-123.97727935943337","-123.97727935943337","-123.97727935943337"
"53195","-234.91605807686878","-234.91605807686878","-234.91605807686878","-238.38910695081108","-238.38910695081108","-238.38910695081108","-190.21576691084292","-190.21576691084292","-190.21576691084292","-125.26593220782001","-125.26593220782001","-125.26593220782001","-125.99647791824131","-125.99647791824131","-125.99647791824131","-139.77659002064962","-139.77659002064962","-139.77659002064962","-173.1810177309688","-173.1810177309688","-173.1810177309688","-236.4561171993884","-236.4561171993884","-236.4561171993884","-143.35618522215714","-143.35618522215714","-143.35618522215714"
"55602","-152.13895423263827","-152.13895423263827","-152.13895423263827","-222.67598593783015","-222.67598593783015","-222.67598593783015","-226.4662584260895","-226.4662584260895","-226.4662584260895","-130.92995595440024","-130.92995595440024","-130.92995595440024","-147.9619055373251","-147.9619055373251","-147.9619055373251","-125.07621848009485","-125.07621848009485","-125.07621848009485","-219.20200100883903","-219.20200100883903","-219.20200100883903","-206.83691906438406","-206.83691906438406","-206.83691906438406","-197.56935010208844","-197.56935010208844","-197.56935010208844"
"58009","-191.40159199256198","-191.40159199256198","-191.40159199256198","-157.08760858493503","-157.08760858493503","-157.08760858493503","-222.40282740474814","-222.40282740474814","-222.40282740474814","-152.10863644293858","-152.10863644293858","-152.10863644293858","-127.53705462637072","-127.53705462637072","-127.53705462637072","-138.44719762412464","-138.44719762412464","-138.44719762412464","-214.1550782744097","-214.1550782744097","-214.1550782744097","-221.36104951833357","-221.36104951833357","-221.36104951833357","-156.65529602822892","-156.65529602822892","-156.65529602822892"
"60416","-286.046721459798","-286.046721459798","-286.046721459798","-167.05381336679307","-167.05381336679307","-167.05381336679307","-140.79154452933133","-140.79154452933133","-140.79154452933133","-150.27656170747306","-150.27656170747306","-150.27656170747306","-105.76592721474597","-105.76592721474597","-105.76592721474597","-125.3067587439817","-125.3067587439817","-125.3067587439817","-149.72566644706657","-149.72566644706657","-149.72566644706657","-168.0342671855541","-168.0342671855541","-168.0342671855541","-139.98378518725355","-139.98378518725355","-139.98378518725355"
"62823","-243.60710716503","-243.60710716503","-243.60710716503","-236.9491607709834","-236.9491607709834","-236.9491607709834","-140.64210177533295","-140.64210177533295","-140.64210177533295","-158.089553248782","-158.089553248782","-158.089553248782","-130.23180112670906","-130.23180112670906","-130.23180112670906","-107.49527761794505","-107.49527761794505","-107.49527761794505","-148.28073594747136","-148.28073594747136","-148.28073594747136","-128.44048909431086","-128.44048909431086","-128.44048909431086","-201.63869059553383","-201.63869059553383","-201.63869059553383"
"65230","-144.14647709128963","-144.14647709128963","-144.14647709128963","-230.97684702473876","-230.97684702473876","-230.97684702473876","-137.044924829523","-137.044924829523","-137.044924829523","-160.9981954911303","-160.9981954911303","-160.9981954911303","-103.43199910427975","-103.43199910427975","-103.43199910427975","-122.66308327281217","-122.66308327281217","-122.66308327281217","-264.54906624884603","-264.54906624884603","-264.54906624884603","-193.0496622275046","-193.0496622275046","-193.0496622275046","-186.67280827550107","-186.67280827550107","-186.67280827550107"
"67637","-185.34300806120612","-185.34300806120612","-185.34300806120612","-200.7388612529345","-200.7388612529345","-200.7388612529345","-188.32780468883817","-188.32780468883817","-188.32780468883817","-122.99930785945142","-122.99930785945142","-122.99930785945142","-158.92618887128612","-158.92618887128612","-158.92618887128612","-120.8690192665133","-120.8690192665133","-120.8690192665133","-273.23726569431807","-273.23726569431807","-273.23726569431807","-200.1870178407614","-200.1870178407614","-200.1870178407614","-232.2102588557535","-232.2102588557535","-232.2102588557535"
"70044","-188.48519376803256","-188.48519376803256","-188.48519376803256","-172.48520477020068","-172.48520477020068","-172.48520477020068","-145.56274153955775","-145.56274153955775","-145.56274153955775","-161.09770184488073","-161.09770184488073","-161.09770184488073","-127.2085663762324","-127.2085663762324","-127.2085663762324","-164.86952699226592","-164.86952699226592","-164.86952699226592","-175.16162036811457","-175.16162036811457","-175.16162036811457","-154.98697962649868","-154.98697962649868","-154.98697962649868","-209.5074457608288","-209.5074457608288","-209.5074457608288"
"72451","-214.06643863764492","-214.06643863764492","-214.06643863764492","-152.64601695745873","-152.64601695745873","-152.64601695745873","-235.78749371237132","-235.78749371237132","-235.78749371237132","-163.6412193939383","-163.6412193939383","-163.6412193939383","-158.94901703570528","-158.94901703570528","-158.94901703570528","-136.24296606482838","-136.24296606482838","-136.24296606482838","-244.11927008377992","-244.11927008377992","-244.11927008377992","-73.60565848537004","-73.60565848537004","-73.60565848537004","-180.86308465043112","-180.86308465043112","-180.86308465043112"
"74858","-89.12048808321579","-89.12048808321579","-89.12048808321579","-226.19708893173615","-226.19708893173615","-226.19708893173615","-175.01061476959018","-175.01061476959018","-175.01061476959018","-161.1403099877129","-161.1403099877129","-161.1403099877129","-127.51076968166618","-127.51076968166618","-127.51076968166618","-106.19314915604328","-106.19314915604328","-106.19314915604328","-281.0020587186011","-281.0020587186011","-281.0020587186011","-181.50381779189107","-181.50381779189107","-181.50381779189107","-182.83728424915506","-182.83728424915506","-182.83728424915506"
"77265","-141.53243000649624","-141.53243000649624","-141.53243000649624","-256.5539225430944","-256.5539225430944","-256.5539225430944","-151.51904450824958","-151.51904450824958","-151.51904450824958","-116.6621887481613","-116.6621887481613","-116.6621887481613","-132.79199353963745","-132.79199353963745","-132.79199353963745","-133.85344257677147","-133.85344257677147","-133.85344257677147","-166.35677542464134","-166.35677542464134","-166.35677542464134","-179.94697176828265","-179.94697176828265","-179.94697176828265","-199.46917579530688","-199.46917579530688","-199.46917579530688"
"79672","-204.16784270862647","-204.16784270862647","-204.16784270862647","-252.3374663546574","-252.3374663546574","-252.3374663546574","-165.12440530586892","-165.12440530586892","-165.12440530586892","-127.93283242984971","-127.93283242984971","-127.93283242984971","-116.35794354313357","-116.35794354313357","-116.35794354313357","-112.03905994241995","-112.03905994241995","-112.03905994241995","-268.3072019591755","-268.3072019591755","-268.3072019591755","-73.27495192313914","-73.27495192313914","-73.27495192313914","-156.30611202845466","-156.30611202845466","-156.30611202845466"
"82079","-155.18352996402746","-155.18352996402746","-155.18352996402746","-197.48924338162098","-197.48924338162098","-197.48924338162098","-183.15785954767654","-183.15785954767654","-183.15785954767654","-122.57206727459905","-122.57206727459905","-122.57206727459905","-132.78550027785542","-132.78550027785542","-132.78550027785542","-110.83066540720472","-110.83066540720472","-110.83066540720472","-197.33411003509167","-197.33411003509167","-197.33411003509167","-216.7386307579875","-216.7386307579875","-216.7386307579875","-153.2438650537677","-153.2438650537677","-153.2438650537677"
"84486","-133.8180216418454","-133.8180216418454","-133.8180216418454","-246.59567206856937","-246.59567206856937","-246.59567206856937","-152.51503401832167","-152.51503401832167","-152.51503401832167","-137.106783970563","-137.106783970563","-137.106783970563","-130.89231242602756","-130.89231242602756","-130.89231242602756","-126.19506647203266","-126.19506647203266","-126.19506647203266","-204.5617548836304","-204.5617548836304","-204.5617548836304","-55.6884764953691","-55.6884764953691","-55.6884764953691","-198.16062219947818","-198.16062219947818","-198.16062219947818"
"86893","-106.71605336500677","-106.71605336500677","-106.71605336500677","-155.29161080751027","-155.29161080751027","-155.29161080751027","-186.81407767347676","-186.81407767347676","-186.81407767347676","-99.51829410027442","-99.51829410027442","-99.51829410027442","-138.30650491277106","-138.30650491277106","-138.30650491277106","-122.77239111336307","-122.77239111336307","-122.77239111336307","-114.35046981589937","-114.35046981589937","-114.35046981589937","-79.13047909482343","-79.13047909482343","-79.13047909482343","-154.47847401408143","-154.47847401408143","-154.47847401408143"
"89300","-243.90551097177325","-243.90551097177325","-243.90551097177325","-198.10331646424282","-198.10331646424282","-198.10331646424282","-171.3901125050336","-171.3901125050336","-171.3901125050336","-133.50054940030878","-133.50054940030878","-133.50054940030878","-149.0208318248888","-149.0208318248888","-149.0208318248888","-147.96262812119832","-147.96262812119832","-147.96262812119832","-259.48418843591094","-259.48418843591094","-259.48418843591094","-77.91404795854572","-77.91404795854572","-77.91404795854572","-227.55207026277307","-227.55207026277307","-227.55207026277307"
"91707","-209.76384969716736","-209.76384969716736","-209.76384969716736","-192.7982651598632","-192.7982651598632","-192.7982651598632","-172.1300651811521","-172.1300651811521","-172.1300651811521","-126.05594538397347","-126.05594538397347","-126.05594538397347","-147.15218709170708","-147.15218709170708","-147.15218709170708","-147.64111293869493","-147.64111293869493","-147.64111293869493","-123.07625357910618","-123.07625357910618","-123.07625357910618","-78.75320253046786","-78.75320253046786","-78.75320253046786","-181.92098079604318","-181.92098079604318","-181.92098079604318"
"94114","-120.0600801331739","-120.0600801331739","-120.0600801331739","-179.9642212121688","-179.9642212121688","-179.9642212121688","-173.43528513226576","-173.43528513226576","-173.43528513226576","-140.31795745537337","-140.31795745537337","-140.31795745537337","-166.34689879135863","-166.34689879135863","-166.34689879135863","-135.64822676489095","-135.64822676489095","-135.64822676489095","-147.95341487233344","-147.95341487233344","-147.95341487233344","-62.62854025287479","-62.62854025287479","-62.62854025287479","-120.25855045868892","-120.25855045868892","-120.25855045868892"
"96521","-194.26878065920477","-194.26878065920477","-194.26878065920477","-216.61588681016013","-216.61588681016013","-216.61588681016013","-213.73798294355925","-213.73798294355925","-213.73798294355925","-156.60456063578283","-156.60456063578283","-156.60456063578283","-134.18408217133836","-134.18408217133836","-134.18408217133836","-110.17336550628427","-110.17336550628427","-110.17336550628427","-226.82710029473316","-226.82710029473316","-226.82710029473316","-184.54183283561264","-184.54183283561264","-184.54183283561264","-191.82516237683402","-191.82516237683402","-191.82516237683402"
"98928","-201.97659070255742","-201.97659070255742","-201.97659070255742","-253.96240988234095","-253.96240988234095","-253.96240988234095","-229.12666266480292","-229.12666266480292","-229.12666266480292","-111.30363295841804","-111.30363295841804","-111.30363295841804","-161.4363640566325","-161.4363640566325","-161.4363640566325","-142.67904846191624","-142.67904846191624","-142.67904846191624","-262.27811026241886","-262.27811026241886","-262.27811026241886","-210.47351505866112","-210.47351505866112","-210.47351505866112","-172.58517909038454","-172.58517909038454","-172.58517909038454"
"101335","-111.89308485349666","-111.89308485349666","-111.89308485349666","-192.1977680011163","-192.1977680011163","-192.1977680011163","-138.5537879605423","-138.5537879605423","-138.5537879605423","-133.32209589017683","-133.32209589017683","-133.32209589017683","-133.15522875563502","-133.15522875563502","-133.15522875563502","-177.88699369461054","-177.88699369461054","-177.88699369461054","-261.7212821773317","-261.7212821773317","-261.7212821773317","-65.1969063998421","-65.1969063998421","-65.1969063998421","-227.73510841267793","-227.73510841267793","-227.73510841267793"
"103742","-132.78611992665247","-132.78611992665247","-132.78611992665247","-183.05073782474807","-183.05073782474807","-183.05073782474807","-216.53881518705674","-216.53881518705674","-216.53881518705674","-129.6392809426029","-129.6392809426029","-129.6392809426029","-137.35251864825048","-137.35251864825048","-137.35251864825048","-140.09560334874288","-140.09560334874288","-140.09560334874288","-258.7351264511143","-258.7351264511143","-258.7351264511143","-214.2874089765413","-214.2874089765413","-214.2874089765413","-216.90205246318664","-216.90205246318664","-216.90205246318664"
"106149","-199.0817733393922","-199.0817733393922","-199.0817733393922","-197.24363813369962","-197.24363813369962","-197.24363813369962","-106.13896812080819","-106.13896812080819","-106.13896812080819","-147.0195056877461","-147.0195056877461","-147.0195056877461","-145.95282848237875","-145.95282848237875","-145.95282848237875","-134.30156210594185","-134.30156210594185","-134.30156210594185","-221.256704133371","-221.256704133371","-221.256704133371","-225.04282429954247","-225.04282429954247","-225.04282429954247","-175.97965221649926","-175.97965221649926","-175.97965221649926"
"108556","-188.7811979162014","-188.7811979162014","-188.7811979162014","-214.2819669850494","-214.2819669850494","-214.2819669850494","-159.35474842229002","-159.35474842229002","-159.35474842229002","-153.92801218346227","-153.92801218346227","-153.92801218346227","-108.47325655063798","-108.47325655063798","-108.47325655063798","-137.0939808652942","-137.0939808652942","-137.0939808652942","-233.64458688580976","-233.64458688580976","-233.64458688580976","-255.28334279982437","-255.28334279982437","-255.28334279982437","-140.93698603151802","-140.93698603151802","-140.93698603151802"
"110963","-210.34456094683478","-210.34456094683478","-210.34456094683478","-258.90965405086575","-258.90965405086575","-258.90965405086575","-165.65296432547433","-165.65296432547433","-165.65296432547433","-147.747216109901","-147.747216109901","-147.747216109901","-135.88196843141412","-135.88196843141412","-135.88196843141412","-132.2045398536396","-132.2045398536396","-132.2045398536396","-226.5126381358053","-226.5126381358053","-226.5126381358053","-226.22927773165824","-226.22927773165824","-226.22927773165824","-137.74511205532042","-137.74511205532042","-137.74511205532042"
"113370","-161.8564192451112","-161.8564192451112","-161.8564192451112","-252.88357313301663","-252.88357313301663","-252.88357313301663","-209.0685104049431","-209.0685104049431","-209.0685104049431","-130.56606992768073","-130.56606992768073","-130.56606992768073","-141.1247248996128","-141.1247248996128","-141.1247248996128","-128.6151123777381","-128.6151123777381","-128.6151123777381","-221.25303570882292","-221.25303570882292","-221.25303570882292","-229.74113858781942","-229.74113858781942","-229.74113858781942","-154.67732217079484","-154.67732217079484","-154.67732217079484"
"115777","-255.3963891673492","-255.3963891673492","-255.3963891673492","-251.97182518616347","-251.97182518616347","-251.97182518616347","-208.03589177903783","-208.03589177903783","-208.03589177903783","-122.63814697629962","-122.63814697629962","-122.63814697629962","-171.27843878997223","-171.27843878997223","-171.27843878997223","-109.40986063070264","-109.40986063070264","-109.40986063070264","-247.85777612008778","-247.85777612008778","-247.85777612008778","-218.07883859614785","-218.07883859614785","-218.07883859614785","-154.11190635801452","-154.11190635801452","-154.11190635801452"
"118184","-112.25143904554838","-112.25143904554838","-112.25143904554838","-211.99570878665622","-211.99570878665622","-211.99570878665622","-198.25626754782363","-198.25626754782363","-198.25626754782363","-136.03018160056658","-136.03018160056658","-136.03018160056658","-154.22539696667852","-154.22539696667852","-154.22539696667852","-135.3342219715266","-135.3342219715266","-135.3342219715266","-212.12922235257952","-212.12922235257952","-212.12922235257952","-210.34629580117803","-210.34629580117803","-210.34629580117803","-176.91205000505983","-176.91205000505983","-176.91205000505983"
