"Step","sunny-valley-620 - test len","sunny-valley-620 - test len__MIN","sunny-valley-620 - test len__MAX","royal-moon-603 - test len","royal-moon-603 - test len__MIN","royal-moon-603 - test len__MAX","sage-plasma-504 - test len","sage-plasma-504 - test len__MIN","sage-plasma-504 - test len__MAX","sleek-frost-502 - test len","sleek-frost-502 - test len__MIN","sleek-frost-502 - test len__MAX","earthy-shadow-459 - test len","earthy-shadow-459 - test len__MIN","earthy-shadow-459 - test len__MAX","ethereal-forest-458 - test len","ethereal-forest-458 - test len__MIN","ethereal-forest-458 - test len__MAX","drawn-monkey-457 - test len","drawn-monkey-457 - test len__MIN","drawn-monkey-457 - test len__MAX","trim-breeze-456 - test len","trim-breeze-456 - test len__MIN","trim-breeze-456 - test len__MAX","curious-resonance-455 - test len","curious-resonance-455 - test len__MIN","curious-resonance-455 - test len__MAX","rose-disco-454 - test len","rose-disco-454 - test len__MIN","rose-disco-454 - test len__MAX","wise-rain-453 - test len","wise-rain-453 - test len__MIN","wise-rain-453 - test len__MAX","vocal-butterfly-452 - test len","vocal-butterfly-452 - test len__MIN","vocal-butterfly-452 - test len__MAX","denim-tree-451 - test len","denim-tree-451 - test len__MIN","denim-tree-451 - test len__MAX","upbeat-hill-263 - test len","upbeat-hill-263 - test len__MIN","upbeat-hill-263 - test len__MAX"
"6181","","","","","","","","","","","","","417.76666666666665","417.76666666666665","417.76666666666665","493.03333333333336","493.03333333333336","493.03333333333336","437.5","437.5","437.5","534.9","534.9","534.9","464.56666666666666","464.56666666666666","464.56666666666666","461.3666666666667","461.3666666666667","461.3666666666667","407.23333333333335","407.23333333333335","407.23333333333335","444.4","444.4","444.4","444.3","444.3","444.3","","",""
"6569","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","358.3333333333333","358.3333333333333","358.3333333333333"
"6792","","","","","","","","","","","","","473.23333333333335","473.23333333333335","473.23333333333335","240.33333333333334","240.33333333333334","240.33333333333334","419.06666666666666","419.06666666666666","419.06666666666666","523.9666666666667","523.9666666666667","523.9666666666667","412.1666666666667","412.1666666666667","412.1666666666667","506.3666666666667","506.3666666666667","506.3666666666667","407.53333333333336","407.53333333333336","407.53333333333336","409.1","409.1","409.1","552.1","552.1","552.1","","",""
"7132","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","393.8666666666667","393.8666666666667","393.8666666666667"
"7403","","","","","","","","","","","","","423.5","423.5","423.5","481.96666666666664","481.96666666666664","481.96666666666664","384.4","384.4","384.4","528.5666666666667","528.5666666666667","528.5666666666667","415.2","415.2","415.2","482.03333333333336","482.03333333333336","482.03333333333336","385.3333333333333","385.3333333333333","385.3333333333333","485.96666666666664","485.96666666666664","485.96666666666664","459.06666666666666","459.06666666666666","459.06666666666666","","",""
"7715","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","487.7","487.7","487.7"
"8014","","","","","","","","","","","","","430.46666666666664","430.46666666666664","430.46666666666664","300.56666666666666","300.56666666666666","300.56666666666666","604.0666666666667","604.0666666666667","604.0666666666667","411.1","411.1","411.1","402.93333333333334","402.93333333333334","402.93333333333334","391.1333333333333","391.1333333333333","391.1333333333333","367.9","367.9","367.9","504.3666666666667","504.3666666666667","504.3666666666667","429.3333333333333","429.3333333333333","429.3333333333333","","",""
"8305","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","326.5","326.5","326.5"
"8625","","","","","","","","","","","","","433.53333333333336","433.53333333333336","433.53333333333336","308.8","308.8","308.8","433.8333333333333","433.8333333333333","433.8333333333333","494.23333333333335","494.23333333333335","494.23333333333335","436.96666666666664","436.96666666666664","436.96666666666664","341.2","341.2","341.2","357.53333333333336","357.53333333333336","357.53333333333336","442.96666666666664","442.96666666666664","442.96666666666664","412.73333333333335","412.73333333333335","412.73333333333335","","",""
"8856","620.2333333333333","620.2333333333333","620.2333333333333","388.3","388.3","388.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8918","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","391.3333333333333","391.3333333333333","391.3333333333333"
"9240","","","","","","","","","","","","","349.5","349.5","349.5","371.8666666666667","371.8666666666667","371.8666666666667","367.43333333333334","367.43333333333334","367.43333333333334","339.53333333333336","339.53333333333336","339.53333333333336","310.4","310.4","310.4","463.6333333333333","463.6333333333333","463.6333333333333","639.7","639.7","639.7","442.8333333333333","442.8333333333333","442.8333333333333","449.5","449.5","449.5","","",""
"9531","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","325.6","325.6","325.6"
"9851","","","","","","","","","","","","","450.3666666666667","450.3666666666667","450.3666666666667","478.2","478.2","478.2","493.2","493.2","493.2","445.1","445.1","445.1","354.53333333333336","354.53333333333336","354.53333333333336","521.9","521.9","521.9","411.73333333333335","411.73333333333335","411.73333333333335","429.03333333333336","429.03333333333336","429.03333333333336","431.23333333333335","431.23333333333335","431.23333333333335","","",""
"10184","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331.96666666666664","331.96666666666664","331.96666666666664"
"10462","","","","","","","","","","","","","534.2333333333333","534.2333333333333","534.2333333333333","452.4","452.4","452.4","539.4666666666667","539.4666666666667","539.4666666666667","339.06666666666666","339.06666666666666","339.06666666666666","402.4","402.4","402.4","402.5","402.5","402.5","287.93333333333334","287.93333333333334","287.93333333333334","375.46666666666664","375.46666666666664","375.46666666666664","383.06666666666666","383.06666666666666","383.06666666666666","","",""
"10857","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","358.73333333333335","358.73333333333335","358.73333333333335"
"11073","","","","","","","","","","","","","506.03333333333336","506.03333333333336","506.03333333333336","523.7666666666667","523.7666666666667","523.7666666666667","482.23333333333335","482.23333333333335","482.23333333333335","356.9","356.9","356.9","369.03333333333336","369.03333333333336","369.03333333333336","378.8333333333333","378.8333333333333","378.8333333333333","519.7666666666667","519.7666666666667","519.7666666666667","375.3666666666667","375.3666666666667","375.3666666666667","453.93333333333334","453.93333333333334","453.93333333333334","","",""
"11540","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","359.96666666666664","359.96666666666664","359.96666666666664"
"11684","","","","","","","","","","","","","411.4","411.4","411.4","479.8","479.8","479.8","519.1333333333333","519.1333333333333","519.1333333333333","317.46666666666664","317.46666666666664","317.46666666666664","391.26666666666665","391.26666666666665","391.26666666666665","479.03333333333336","479.03333333333336","479.03333333333336","495.23333333333335","495.23333333333335","495.23333333333335","449.96666666666664","449.96666666666664","449.96666666666664","582.7666666666667","582.7666666666667","582.7666666666667","","",""
"11787","","","","","","","580.7666666666667","580.7666666666667","580.7666666666667","352.1333333333333","352.1333333333333","352.1333333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12273","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","422","422","422"
"12298","","","","","","","","","","","","","395.8666666666667","395.8666666666667","395.8666666666667","310.1666666666667","310.1666666666667","310.1666666666667","328.76666666666665","328.76666666666665","328.76666666666665","439.8333333333333","439.8333333333333","439.8333333333333","463","463","463","364.6666666666667","364.6666666666667","364.6666666666667","522.2333333333333","522.2333333333333","522.2333333333333","376.1333333333333","376.1333333333333","376.1333333333333","482.46666666666664","482.46666666666664","482.46666666666664","","",""
"12909","","","","","","","","","","","","","308.8666666666667","308.8666666666667","308.8666666666667","667.7","667.7","667.7","543.9","543.9","543.9","410.9","410.9","410.9","445.6666666666667","445.6666666666667","445.6666666666667","422.6333333333333","422.6333333333333","422.6333333333333","596.2","596.2","596.2","390.9","390.9","390.9","427.06666666666666","427.06666666666666","427.06666666666666","","",""
"13006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","359.3333333333333","359.3333333333333","359.3333333333333"
"13072","679.3","679.3","679.3","454.9","454.9","454.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13520","","","","","","","","","","","","","505.1","505.1","505.1","417.3333333333333","417.3333333333333","417.3333333333333","268.7","268.7","268.7","389.9","389.9","389.9","383.03333333333336","383.03333333333336","383.03333333333336","533.4333333333333","533.4333333333333","533.4333333333333","525.6","525.6","525.6","251.46666666666667","251.46666666666667","251.46666666666667","481.06666666666666","481.06666666666666","481.06666666666666","","",""
"13761","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","264.1333333333333","264.1333333333333","264.1333333333333"
"14131","","","","","","","","","","","","","332.7","332.7","332.7","372.7","372.7","372.7","494.6666666666667","494.6666666666667","494.6666666666667","454.96666666666664","454.96666666666664","454.96666666666664","576.1","576.1","576.1","306.53333333333336","306.53333333333336","306.53333333333336","381.23333333333335","381.23333333333335","381.23333333333335","393.5","393.5","393.5","477.7","477.7","477.7","","",""
"14524","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","231.23333333333332","231.23333333333332","231.23333333333332"
"14742","","","","","","","","","","","","","458.56666666666666","458.56666666666666","458.56666666666666","444.8333333333333","444.8333333333333","444.8333333333333","450.6666666666667","450.6666666666667","450.6666666666667","477.6333333333333","477.6333333333333","477.6333333333333","515.9333333333333","515.9333333333333","515.9333333333333","555.7666666666667","555.7666666666667","555.7666666666667","364.4","364.4","364.4","399.43333333333334","399.43333333333334","399.43333333333334","398.06666666666666","398.06666666666666","398.06666666666666","","",""
"15297","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","359.1333333333333","359.1333333333333","359.1333333333333"
"15357","","","","","","","","","","","","","391.93333333333334","391.93333333333334","391.93333333333334","315.53333333333336","315.53333333333336","315.53333333333336","523.8666666666667","523.8666666666667","523.8666666666667","347.3333333333333","347.3333333333333","347.3333333333333","422.6","422.6","422.6","575.2666666666667","575.2666666666667","575.2666666666667","426.53333333333336","426.53333333333336","426.53333333333336","471.73333333333335","471.73333333333335","471.73333333333335","603.5666666666667","603.5666666666667","603.5666666666667","","",""
"15968","","","","","","","","","","","","","527.2666666666667","527.2666666666667","527.2666666666667","469.56666666666666","469.56666666666666","469.56666666666666","507.43333333333334","507.43333333333334","507.43333333333334","420.96666666666664","420.96666666666664","420.96666666666664","548.4","548.4","548.4","402.6666666666667","402.6666666666667","402.6666666666667","550.4","550.4","550.4","481.3333333333333","481.3333333333333","481.3333333333333","435.23333333333335","435.23333333333335","435.23333333333335","","",""
"16120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","363.46666666666664","363.46666666666664","363.46666666666664"
"16579","","","","","","","","","","","","","452.9","452.9","452.9","390.56666666666666","390.56666666666666","390.56666666666666","344.2","344.2","344.2","351.43333333333334","351.43333333333334","351.43333333333334","406.3","406.3","406.3","439.6333333333333","439.6333333333333","439.6333333333333","465.3666666666667","465.3666666666667","465.3666666666667","470.3","470.3","470.3","598.4666666666667","598.4666666666667","598.4666666666667","","",""
"16943","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","449.8666666666667","449.8666666666667","449.8666666666667"
"17190","","","","","","","","","","","","","480.1","480.1","480.1","583.0333333333333","583.0333333333333","583.0333333333333","493.8333333333333","493.8333333333333","493.8333333333333","354.2","354.2","354.2","392.6666666666667","392.6666666666667","392.6666666666667","448.9","448.9","448.9","583.2333333333333","583.2333333333333","583.2333333333333","530.1666666666666","530.1666666666666","530.1666666666666","376.73333333333335","376.73333333333335","376.73333333333335","","",""
"17288","646.1666666666666","646.1666666666666","646.1666666666666","486.4","486.4","486.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17399","","","","","","","620.1","620.1","620.1","450.93333333333334","450.93333333333334","450.93333333333334","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17788","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","365.56666666666666","365.56666666666666","365.56666666666666"
"17801","","","","","","","","","","","","","344.8333333333333","344.8333333333333","344.8333333333333","511.3","511.3","511.3","400.8","400.8","400.8","432.06666666666666","432.06666666666666","432.06666666666666","483.26666666666665","483.26666666666665","483.26666666666665","293.8333333333333","293.8333333333333","293.8333333333333","390.6666666666667","390.6666666666667","390.6666666666667","457","457","457","445.6666666666667","445.6666666666667","445.6666666666667","","",""
"18415","","","","","","","","","","","","","473.96666666666664","473.96666666666664","473.96666666666664","487.73333333333335","487.73333333333335","487.73333333333335","366.3","366.3","366.3","405.6","405.6","405.6","423.8333333333333","423.8333333333333","423.8333333333333","460.1666666666667","460.1666666666667","460.1666666666667","359.93333333333334","359.93333333333334","359.93333333333334","528.4","528.4","528.4","389.2","389.2","389.2","","",""
"18641","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","452.6","452.6","452.6"
"19026","","","","","","","","","","","","","277.1","277.1","277.1","304.26666666666665","304.26666666666665","304.26666666666665","553.2333333333333","553.2333333333333","553.2333333333333","492.6","492.6","492.6","419.1333333333333","419.1333333333333","419.1333333333333","640.0666666666667","640.0666666666667","640.0666666666667","402.9","402.9","402.9","540.5333333333333","540.5333333333333","540.5333333333333","327.1","327.1","327.1","","",""
"19504","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","422.56666666666666","422.56666666666666","422.56666666666666"
"19637","","","","","","","","","","","","","425.6","425.6","425.6","494.9","494.9","494.9","634.1","634.1","634.1","296.03333333333336","296.03333333333336","296.03333333333336","439.6666666666667","439.6666666666667","439.6666666666667","526.5","526.5","526.5","340.93333333333334","340.93333333333334","340.93333333333334","395.06666666666666","395.06666666666666","395.06666666666666","411.26666666666665","411.26666666666665","411.26666666666665","","",""
"20248","","","","","","","","","","","","","477.53333333333336","477.53333333333336","477.53333333333336","442.76666666666665","442.76666666666665","442.76666666666665","433.1","433.1","433.1","484.7","484.7","484.7","277.5","277.5","277.5","423.9","423.9","423.9","384.56666666666666","384.56666666666666","384.56666666666666","382.7","382.7","382.7","528.5","528.5","528.5","","",""
"20417","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","296.2","296.2","296.2"
"20859","","","","","","","","","","","","","445.3333333333333","445.3333333333333","445.3333333333333","298.3","298.3","298.3","508.73333333333335","508.73333333333335","508.73333333333335","445.46666666666664","445.46666666666664","445.46666666666664","319.9","319.9","319.9","367.8","367.8","367.8","459.03333333333336","459.03333333333336","459.03333333333336","473.9","473.9","473.9","385.6666666666667","385.6666666666667","385.6666666666667","","",""
"21330","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","361.3333333333333","361.3333333333333","361.3333333333333"
"21474","","","","","","","","","","","","","417.06666666666666","417.06666666666666","417.06666666666666","428","428","428","466.4","466.4","466.4","359.43333333333334","359.43333333333334","359.43333333333334","593.1666666666666","593.1666666666666","593.1666666666666","503.26666666666665","503.26666666666665","503.26666666666665","440.76666666666665","440.76666666666665","440.76666666666665","495.6","495.6","495.6","473.5","473.5","473.5","","",""
"21507","549.4333333333333","549.4333333333333","549.4333333333333","547.2","547.2","547.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22085","","","","","","","","","","","","","493.6333333333333","493.6333333333333","493.6333333333333","462.4","462.4","462.4","468.3666666666667","468.3666666666667","468.3666666666667","494.93333333333334","494.93333333333334","494.93333333333334","377.3666666666667","377.3666666666667","377.3666666666667","381.46666666666664","381.46666666666664","381.46666666666664","480.5","480.5","480.5","448.06666666666666","448.06666666666666","448.06666666666666","406.53333333333336","406.53333333333336","406.53333333333336","","",""
"22283","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","328.3333333333333","328.3333333333333","328.3333333333333"
"22696","","","","","","","","","","","","","479.9","479.9","479.9","531.7","531.7","531.7","531.7333333333333","531.7333333333333","531.7333333333333","409.06666666666666","409.06666666666666","409.06666666666666","568.7333333333333","568.7333333333333","568.7333333333333","407.8666666666667","407.8666666666667","407.8666666666667","336.8","336.8","336.8","454.93333333333334","454.93333333333334","454.93333333333334","419","419","419","","",""
"23011","","","","","","","644.6666666666666","644.6666666666666","644.6666666666666","583.1666666666666","583.1666666666666","583.1666666666666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23256","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","487.4","487.4","487.4"
"23307","","","","","","","","","","","","","314.1333333333333","314.1333333333333","314.1333333333333","324.53333333333336","324.53333333333336","324.53333333333336","410.56666666666666","410.56666666666666","410.56666666666666","600.0333333333333","600.0333333333333","600.0333333333333","393.6666666666667","393.6666666666667","393.6666666666667","361.46666666666664","361.46666666666664","361.46666666666664","418.2","418.2","418.2","451.23333333333335","451.23333333333335","451.23333333333335","511.1333333333333","511.1333333333333","511.1333333333333","","",""
"23918","","","","","","","","","","","","","392.7","392.7","392.7","318.8333333333333","318.8333333333333","318.8333333333333","413.53333333333336","413.53333333333336","413.53333333333336","459.1333333333333","459.1333333333333","459.1333333333333","495.53333333333336","495.53333333333336","495.53333333333336","388.23333333333335","388.23333333333335","388.23333333333335","281.06666666666666","281.06666666666666","281.06666666666666","481.56666666666666","481.56666666666666","481.56666666666666","500.5","500.5","500.5","","",""
"24236","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","268.3","268.3","268.3"
"24532","","","","","","","","","","","","","485.3","485.3","485.3","","","","400.06666666666666","400.06666666666666","400.06666666666666","289.43333333333334","289.43333333333334","289.43333333333334","440.6333333333333","440.6333333333333","440.6333333333333","411.4","411.4","411.4","","","","378.3666666666667","378.3666666666667","378.3666666666667","412.8","412.8","412.8","","",""
"24547","","","","","","","","","","","","","","","","415.7","415.7","415.7","","","","","","","","","","","","","576.5666666666667","576.5666666666667","576.5666666666667","","","","","","","","",""
"25143","","","","","","","","","","","","","417.96666666666664","417.96666666666664","417.96666666666664","","","","408.43333333333334","408.43333333333334","408.43333333333334","361.06666666666666","361.06666666666666","361.06666666666666","386.73333333333335","386.73333333333335","386.73333333333335","468.3","468.3","468.3","","","","479.3666666666667","479.3666666666667","479.3666666666667","464.46666666666664","464.46666666666664","464.46666666666664","","",""
"25239","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","258.9","258.9","258.9"
"25308","","","","","","","","","","","","","","","","335.4","335.4","335.4","","","","","","","","","","","","","359.26666666666665","359.26666666666665","359.26666666666665","","","","","","","","",""
"25723","580.7","580.7","580.7","419.56666666666666","419.56666666666666","419.56666666666666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25754","","","","","","","","","","","","","452.6333333333333","452.6333333333333","452.6333333333333","","","","383.4","383.4","383.4","382.03333333333336","382.03333333333336","382.03333333333336","312.4","312.4","312.4","526.5333333333333","526.5333333333333","526.5333333333333","","","","399.46666666666664","399.46666666666664","399.46666666666664","521.2","521.2","521.2","","",""
"26069","","","","","","","","","","","","","","","","452.43333333333334","452.43333333333334","452.43333333333334","","","","","","","","","","","","","380.3","380.3","380.3","","","","","","","","",""
"26242","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","297.7","297.7","297.7"
"26365","","","","","","","","","","","","","378","378","378","","","","318.5","318.5","318.5","363.56666666666666","363.56666666666666","363.56666666666666","367.53333333333336","367.53333333333336","367.53333333333336","487.2","487.2","487.2","","","","420.76666666666665","420.76666666666665","420.76666666666665","426.9","426.9","426.9","","",""
"26830","","","","","","","","","","","","","","","","359.03333333333336","359.03333333333336","359.03333333333336","","","","","","","","","","","","","484.7","484.7","484.7","","","","","","","","",""
